"CHICAGO  IL"
"GLOGATSO CA"
"KANCITY  KS"
"LAHARAPMTCA"
"LOGPARCHIIL"
"LOGPARKANKS"
"LONBEAAPICA"
"LONBEAITSCA"
"LONBEAJPICA"
"LONBEAPCTCA"
"LONBEATPICA"
"LOSANGELECA"
"NBAY     CA"
"OAKINTGATCA"
"PEARLAND TX"
"PHOENIX  AZ"
"SEATTLE  WA"
"STOIMF   CA"
"TACOMA   WA"
"TICSEASIDCA"
"TICTF    CA"
"WBASIN   CA"
"WILSPRINGIL"
